Industry,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance
Energy,2016,1213.5,14.3,2914.3,4.6,46.9,46.9,38.3,55.5
Energy,2017,1248.2,14.2,1935.3,2.9,47.5,48.3,39.1,55.1
Energy,2018,1320.2,17.3,4087.7,5.8,50.1,49.6,41.3,59.3
Energy,2019,1268.4,15.1,2918,-3.9,50.8,52.2,41,59.3
Energy,2020,1265.3,16.6,3606.5,-0.2,51.4,51.6,41.3,61.3
Energy,2021,1387.7,14.6,2539.7,9.7,52.6,54.6,39.1,64
Energy,2022,1283.2,20.5,3303.6,-7.5,56.8,59.6,44,66.7
Energy,2023,1119,29.3,2683.5,-12.8,57.7,58.3,45.2,69.8
Energy,2024,1219.4,45,10664.6,9,57.7,59.3,45.8,67.9
Energy,2025,1249.8,36.9,5866.9,2.5,59.8,63.6,47,68.8
Utilities,2015,3577.1,12.7,3876.1,,62.9,55.9,87.3,45.4
Utilities,2016,3460.1,13,5855.9,-3.3,63.8,57.5,87.7,46.1
Utilities,2017,3855.5,12.2,4729.2,11.4,64.7,59.5,87,47.7
Utilities,2018,3910.5,13.4,4504.2,1.4,65.2,59.6,89.8,46.2
Utilities,2019,4023.2,17.2,9379.8,2.9,65.8,61.4,88.2,47.6
Utilities,2020,4324.4,16.8,9737.7,7.5,66.3,59.2,89.5,50.3
Utilities,2021,4158.1,17.5,9928.2,-3.8,67.5,62,88.8,51.6
Utilities,2022,3932.8,17.1,6485.7,-5.4,67.9,62.8,91.5,49.5
Utilities,2023,4066.6,15.5,5952.4,3.4,67.7,62.3,89.4,51.5
Utilities,2024,4012.2,15.7,5680.9,-1.3,67.4,64.7,86.8,50.8
Utilities,2025,4630.8,18.3,6876.5,15.4,68.1,64.8,89.3,50.2
Energy,2015,7905.8,7.3,9920.4,,68.6,62.6,81.4,61.8
Energy,2016,7833.6,1.8,1889.4,-0.9,67.9,65.1,78.9,59.6
Energy,2017,8556.8,2.4,2419.7,9.2,68.2,64.4,79.8,60.4
Energy,2018,9566.1,-1,22410.1,11.8,69.8,66.5,82.8,60.3
Energy,2019,10444.4,0.9,1175.7,9.2,70.1,66,84.8,59.5
Energy,2020,11604.7,5,10578.4,11.1,72,65.6,85.6,64.9
Energy,2021,12463.7,2.9,4405.9,7.4,70.9,63.5,83.8,65.5
Energy,2022,12305.5,0.2,398.7,-1.3,73.3,66.1,85,68.8
Energy,2023,11839.6,6.3,10385.7,-3.8,74,68.9,80.9,72.3
Energy,2024,13785.1,15.1,20222.1,16.4,74.9,70.4,82.6,71.7
Energy,2025,14675.7,12.4,35497.2,6.5,75.6,72.9,83.3,70.8
Technology,2015,69314.3,14.9,340068.5,,48.7,91.8,43,11.2
Technology,2016,71999.1,16.7,180408.7,3.9,48.9,91.9,43.6,11.3
Technology,2017,72920.6,12.8,245197.1,1.3,49.9,91.8,42.9,15.1
Technology,2018,80546.7,9.1,172099.6,10.5,51.2,94.5,41.9,17.3
Technology,2019,92918.5,6.7,171478.9,15.4,51,93,43.7,16.3
Technology,2020,98400.8,8,250697.3,5.9,52,91.9,46,18.2
Technology,2021,122196.4,5.3,143651.3,24.2,52.9,89,51.9,17.8
Technology,2022,125147.1,4.7,182797,2.4,54.6,87.9,55.8,19.9
Technology,2023,143507.8,1.8,54146.3,14.7,56.1,89.8,58.5,20.2
Technology,2024,154868.9,3.8,146956.3,7.9,55.2,88.1,57.6,19.8
Technology,2025,180810.4,0.7,39614.5,16.8,57.1,91.2,58.8,21.3
Technology,2015,4449.5,21.5,32323.9,,59.6,96.8,57.4,24.5
Technology,2016,5171.8,21.4,17645.3,16.2,61.5,98.4,60.1,26.1
Technology,2017,4773.2,21.8,25275.9,-7.7,61.1,97.2,57.1,29.2
Technology,2018,5284.2,21.5,18946.4,10.7,62,96.8,59.5,29.7
Technology,2019,5526.3,23.3,44458.7,4.6,62.1,96,58.2,32.1
Technology,2020,6024.2,21.4,31498.1,9,61.9,96.3,58.6,30.6
Technology,2021,6606.7,23.4,42298.9,9.7,61.9,97.8,57.3,30.6
Technology,2022,6865.1,18,22596.7,3.9,63.1,100,58.4,30.8
Technology,2023,7487,23.1,26405,9.1,63.4,100,58.2,31.9
Technology,2024,7317.2,20,50630.3,-2.3,65,100,59.5,35.6
Technology,2025,8581.5,18,31522.2,17.3,65.8,100,60.6,36.8
Energy,2015,2021.8,9.9,1956.4,,30.6,21.9,38.6,31.4
Energy,2016,1931.1,11.6,2533.4,-4.5,30.4,23.4,38.7,29.3
Energy,2017,1932.6,15.4,4568.5,0.1,31.8,25.5,37.2,32.7
Energy,2018,2025.9,28.5,10493.5,4.8,33.4,27.2,38.3,34.8
Energy,2019,2035.1,31.7,8793,0.5,33.7,29.1,36.7,35.3
Energy,2020,2120.5,25.4,9358.5,4.2,33.6,29.2,36.5,35
Energy,2021,1854.6,18.2,6238.9,-12.5,34.4,26.9,40.6,35.7
Energy,2022,1652.2,16.6,4510,-10.9,35.7,27.8,39.7,39.4
Energy,2023,1721.3,11.6,3276.9,4.2,36.6,29.6,41.3,38.9
Energy,2024,1229.6,13.5,1571.1,-28.6,36.8,28.9,43.4,38.2
Energy,2025,1100.4,16.6,3066.5,-10.5,37,31.3,42.1,37.7
Manufacturing,2015,518.6,7.9,723,,51.5,67.8,37.4,49.2
Manufacturing,2016,549.7,10.2,487.4,6,52.2,71.7,37.4,47.7
Manufacturing,2017,584.8,12.2,585.4,6.4,53,74.5,36.5,48
Manufacturing,2018,635.1,15.1,1129.1,8.6,53.5,75,37.4,48.2
Manufacturing,2019,684.2,13.9,1509.5,7.7,52.5,73.4,35.7,48.3
Manufacturing,2020,736.2,15.9,1831.7,7.6,53.1,72.6,38.5,48.1
Manufacturing,2021,815.7,19,2313.7,10.8,52.7,71.9,40.2,46.1
Manufacturing,2022,805.9,17.5,1302.9,-1.2,56.1,76.2,41.7,50.4
Manufacturing,2023,921.1,11.8,2070.6,14.3,59.2,81.5,44,52
Manufacturing,2024,953.8,9,1491.6,3.5,59.5,82.1,44.1,52.2
Manufacturing,2025,1009.7,11.8,2210.1,5.9,60.1,85,43.3,52.1
Healthcare,2015,1042,11.9,1714.9,,50.7,50.8,42.1,59.2
Healthcare,2016,1052.2,19.8,2417.8,1,53.3,53.8,43.6,62.3
Healthcare,2017,1032,15.3,3448.4,-1.9,56,55.2,47.9,64.9
Healthcare,2018,1021.4,18.5,4475.3,-1,56.6,53.8,48.6,67.4
Healthcare,2019,1095.2,20.6,5309.9,7.2,56.5,54,48.4,67.1
Healthcare,2020,1042.5,21.6,3740.8,-4.8,56.9,53.5,49.3,68
Healthcare,2021,1085.5,22.9,4045.7,4.1,57.2,54.5,47.7,69.3
Healthcare,2022,1095.5,25.4,3456.7,0.9,58.9,55.6,47.7,73.4
Healthcare,2023,1139.3,23.4,6088.1,4,60.9,57.8,48.5,76.6
Healthcare,2024,1080.1,26.2,4832.3,-5.2,62.3,58.4,51.6,76.9
Healthcare,2025,924.5,25,2909.9,-14.4,64.6,61.4,53.8,78.5
Technology,2015,11781.5,19.2,67237.9,,49.8,84.2,21.6,43.7
Technology,2016,11745.1,20.4,67390.9,-0.3,49.7,84.8,20.9,43.5
Technology,2017,12904.6,18.9,73924.4,9.9,50.9,85.4,24.3,43
Technology,2018,13566.6,19.7,83160.2,5.1,51.3,88.1,25.5,40.4
Technology,2019,13010.4,18.2,41732,-4.1,51.7,86.5,28.6,40.1
Technology,2020,13503.1,18.2,57602.7,3.8,52.7,88.2,27.7,42.3
Technology,2021,14899.5,18.3,71411.9,10.3,55.4,89.5,29.4,47.3
Technology,2022,15017.5,23.5,68451.5,0.8,55.8,87.1,30.9,49.3
Technology,2023,15013.1,21.9,106974.2,0,56.8,88.4,30.7,51.4
Technology,2024,16637.7,27.5,145466.8,10.8,56.6,88.3,27.8,53.6
Technology,2025,16884.5,32.2,108912.3,1.5,56.7,91,28.2,51
Utilities,2015,698.2,10.1,991.2,,36.9,19.4,65.6,25.8
Utilities,2016,646.6,10.6,678.2,-7.4,38,20.3,67.9,25.8
Utilities,2017,690.5,10.9,729.4,6.8,37.5,16.3,65.3,30.9
Utilities,2018,663.4,7.1,536.6,-3.9,39.4,14.4,67.8,36.2
Utilities,2019,680.9,7.6,515.8,2.6,37.2,10.7,65.4,35.7
Utilities,2020,607.7,6.7,559.6,-10.7,39.2,13.4,68,36.3
Utilities,2021,587.4,6.8,509.3,-3.3,40.4,14.2,67.3,39.8
Utilities,2022,554.7,7.3,398.6,-5.6,41.5,16.8,65.4,42.4
Utilities,2023,586.9,8,374.3,5.8,43.6,19.4,66.9,44.5
Utilities,2024,530.5,8.8,405.4,-9.6,47.2,22.6,69.7,49.4
Utilities,2025,522.7,10.1,542.4,-1.5,49.4,22.5,73.2,52.6
Healthcare,2015,5781.8,15.3,10673.5,,53.3,87.7,42.5,29.6
Healthcare,2016,6276.4,13.9,14779.8,8.6,54.8,90,45.1,29.4
Healthcare,2017,6563.5,13.4,15991,4.6,56,91.5,47.7,28.8
Healthcare,2018,6579.5,18.9,26612.8,0.2,55.5,89.8,48,28.6
Healthcare,2019,7911.2,26.6,26299.1,20.2,56.1,89.9,48.8,29.6
Healthcare,2020,7473.7,29.8,42198.3,-5.5,57.3,89.9,51.7,30.3
Healthcare,2021,9050.8,34.9,36575.3,21.1,57.2,88.7,52.4,30.6
Healthcare,2022,9850.7,34.5,54189,8.8,57.5,91.2,51.3,30.2
Healthcare,2023,10042.8,34.4,77931.6,2,54.6,89.4,48.9,25.4
Healthcare,2024,10146.9,34.5,39609.9,1,54.8,90.7,47.2,26.6
Healthcare,2025,13120.6,30,49236.8,29.3,56.3,93,46.7,29.2
Healthcare,2015,1376,14.2,2738.2,,59.2,91,47.7,39
Healthcare,2016,1549.9,11,1800.9,12.6,60.8,97.3,45.2,40
Healthcare,2017,1845.7,13.7,3020.7,19.1,61.5,98.5,45,41.1
Healthcare,2018,2050.8,15.9,7535,11.1,63.1,100,45.4,43.9
Healthcare,2019,2367.2,11.4,3867.1,15.4,63.4,100,47.2,42.9
Healthcare,2020,2781.1,5.4,2603.6,17.5,63.8,100,48.1,43.3
Healthcare,2021,3276.1,6.7,4076,17.8,64.8,100,51,43.4
Healthcare,2022,3762.3,9.2,6109.4,14.8,65.2,100,51.9,43.8
Healthcare,2023,4253.6,12,10412.8,13.1,64.8,100,51.5,42.9
Healthcare,2024,5268.2,10.7,7977.7,23.9,66,100,53.1,44.8
Healthcare,2025,6291.5,9.1,12161.5,19.4,67.5,100,55,47.7
Technology,2015,2691.8,21.6,13341,,74.6,98.8,48.3,76.7
Technology,2016,2983.2,17.5,9358.1,10.8,76.4,100,51.3,78
Technology,2017,3268.2,13.5,7985.6,9.6,77.6,99.5,54.1,79.1
Technology,2018,3347.3,14.2,7441.4,2.4,76.6,99.7,51.8,78.2
Technology,2019,3860.8,15.9,14761.4,15.3,78,100,52.8,81.3
Technology,2020,4414.7,21.4,22950,14.3,77.8,99.5,51.2,82.8
Technology,2021,4449.3,19.7,15917.8,0.8,78.3,100,49.8,85.2
Technology,2022,4726.3,19.2,17000.4,6.2,79.9,100,52.1,87.5
Technology,2023,5340.3,16.7,19489.1,13,79.6,100,53,85.9
Technology,2024,6033.6,19.4,38765.1,13,80.8,100,54.8,87.6
Technology,2025,6674.2,17.5,18520.1,10.6,81.7,100,56.8,88.3
Transportation,2015,1572.4,11.2,3444.6,,25,6.2,58.4,10.6
Transportation,2016,1308,14.3,3397.4,-16.8,25.2,6.5,60.1,8.8
Transportation,2017,1369,14.1,2040.9,4.7,27,9.5,63.8,7.8
Transportation,2018,1258.3,17.3,2560.9,-8.1,28.6,12.1,62,11.6
Transportation,2019,1103.5,18.9,3888.4,-12.3,26.5,11.3,59.6,8.6
Transportation,2020,1066.1,15,1320.6,-3.4,25.6,10.1,59.7,7.1
Transportation,2021,779.9,14.6,1633.2,-26.8,26.6,10.9,60.2,8.7
Transportation,2022,742.6,19.6,1710.4,-4.8,28.4,12.3,62.1,10.7
Transportation,2023,738.2,19.7,1380,-0.6,29.7,12.9,63,13.1
Transportation,2024,657.6,14.3,1168.5,-10.9,30.6,14.4,63.9,13.7
Transportation,2025,638.4,14.9,1648.5,-2.9,28.9,10.8,62.5,13.4
Transportation,2015,705.5,4.5,536.8,,26,4.2,64.5,9.3
Transportation,2016,777.3,3.6,432.5,10.2,26.5,8.3,62.9,8.2
Transportation,2017,749.3,3,304,-3.6,28.1,10.3,64.1,9.9
Transportation,2018,733.4,2.6,369.6,-2.1,29.2,8.1,65,14.5
Transportation,2019,787.7,2.1,293.9,7.4,29.8,8.3,69.8,11.2
Transportation,2020,806.9,1.9,153.3,2.4,29,6.5,69.8,10.8
Transportation,2021,907.5,-2.1,2238.4,12.5,29.6,8.4,68.9,11.6
Transportation,2022,987,-2,1337.9,8.8,30.2,10.3,69.4,10.9
Transportation,2023,1101.5,2.5,304.6,11.6,32.4,10.9,72.7,13.7
Transportation,2024,1204.6,-0.5,4785.1,9.4,32.1,11.3,73.2,11.7
Transportation,2025,1356.5,1.7,390.6,12.6,31.7,11.4,73.4,10.5
Transportation,2015,3478.7,3.8,1234,,23.9,28.3,10.6,32.8
Transportation,2016,2917.2,5.6,1680,-16.1,23.7,26.3,11.1,33.7
Transportation,2017,2708.7,1.7,705.6,-7.1,26.8,31.3,14.9,34.4
Transportation,2018,2346,-1.6,10611.9,-13.4,27.9,35.1,14.6,34.2
Transportation,2019,1500.4,-0.6,2006.9,-36,28,33.4,16.8,33.8
Transportation,2020,1074.2,-0.1,4456.6,-28.4,29.7,33.5,19.3,36.4
Transportation,2021,1085.4,-2.4,4820.6,1,29.7,35.3,16.2,37.6
Transportation,2022,977.7,-2.6,1051.4,-9.9,28.6,37.7,11.6,36.6
Transportation,2023,836.1,-5.2,423.6,-14.5,28.5,37.2,13.4,34.8
Transportation,2024,839.3,-4.1,2015.9,0.4,28.2,36.1,11.5,37
Transportation,2025,836.2,-5.2,3812,-0.4,28.7,34.8,10.9,40.4
Utilities,2015,405.4,4.6,247.7,,52.1,8.7,70.3,77.2
Utilities,2016,426.5,4.1,150.8,5.2,52.5,8.9,70.3,78.2
Utilities,2017,428.2,4,142.1,0.4,52,9.2,69.9,76.8
Utilities,2018,450.7,4.4,253.8,5.3,52,9.3,73.6,73
Utilities,2019,453.2,1.5,77.8,0.6,53.2,11.9,73.7,74
Utilities,2020,451,3.1,121.4,-0.5,56.1,13.6,74.3,80.4
